code;location;registered;envelopes;valid;Občanská demokratická strana;Řád národa - Vlastenecká unie;CESTA ODPOVĚDNÉ SPOLEČNOSTI;Česká str.sociálně demokrat.;Radostné Česko;STAROSTOVÉ A NEZÁVISLÍ;Komunistická str.Čech a Moravy;Strana zelených;ROZUMNÍ-stop migraci,diktát.EU;Strana svobodných občanů;Blok proti islam.-Obran.domova;Občanská demokratická aliance;Česká pirátská strana;Referendum o Evropské unii;TOP 09;ANO 2011;Dobrá volba 2016;SPR-Republ.str.Čsl. M.Sládka;Křesť.demokr.unie-Čs.str.lid.;REALISTÉ;SPORTOVCI;Dělnic.str.sociální spravedl.;Svob.a př.dem.-T.Okamura (SPD);Strana Práv Občanů
570711;Radíkovice;150;103;103;15;1;0;5;0;5;16;0;3;5;0;0;6;0;2;27;0;0;3;2;0;0;13;0
570729;Radostov;112;88;87;1;0;0;3;0;12;6;4;3;0;0;0;19;0;5;25;0;0;5;0;0;0;4;0
570745;Roudnice;522;363;357;61;0;0;25;0;17;26;6;8;2;0;1;30;0;12;126;1;0;7;5;3;0;23;4
573191;Sadová;270;204;204;16;0;0;15;0;20;12;0;3;2;0;2;19;0;8;83;0;1;10;1;0;0;12;0
570796;Sendražice;323;223;222;31;0;0;10;0;4;16;2;0;2;0;0;20;0;11;99;1;1;3;0;0;1;21;0
570800;Skalice;468;314;312;40;0;0;13;0;15;21;5;5;3;1;0;40;0;7;98;0;0;18;2;0;0;44;0
570834;Skřivany;817;459;459;30;0;0;42;0;20;46;8;9;6;0;0;36;0;14;155;0;1;16;13;0;4;58;1
570851;Sloupno;428;270;270;22;0;2;19;0;28;19;2;4;3;0;2;31;0;11;96;0;0;2;3;1;0;25;0
570869;Smidary;1296;711;700;48;0;1;53;5;17;105;6;12;2;1;0;45;0;9;274;0;0;27;10;0;3;81;1
570877;Smiřice;2284;1302;1292;114;7;3;64;1;56;98;17;12;19;1;0;141;2;51;465;2;6;46;11;3;6;148;19
570885;Smržov;396;271;269;35;0;0;13;0;12;17;1;3;6;2;1;37;1;13;79;1;0;16;1;1;0;29;1
570907;Sovětice;168;121;121;10;0;0;4;0;9;13;1;5;0;0;0;9;2;8;34;0;0;9;1;0;0;16;0
570915;Stará Voda;115;84;83;3;0;0;1;0;5;7;5;3;1;0;0;8;0;3;33;1;0;6;0;0;0;7;0
573132;Starý Bydžov;335;187;185;11;0;0;17;2;6;20;1;2;1;0;0;15;0;8;76;0;0;2;2;0;0;22;0
570931;Stěžery;1510;1107;1099;119;0;1;58;2;57;72;19;6;23;1;4;139;0;66;385;2;0;29;2;3;1;107;3
570958;Stračov;248;157;157;29;2;0;15;0;14;7;1;0;2;0;0;14;1;1;51;0;0;7;0;0;1;10;2
570966;Střezetice;309;217;217;28;1;0;16;0;9;25;1;1;2;1;1;22;0;22;52;1;0;10;2;0;0;23;0
548154;Světí;237;164;163;12;0;3;9;1;5;8;1;0;4;1;0;22;0;7;58;1;0;13;1;1;1;15;0
571008;Syrovátka;333;215;210;11;1;0;12;0;1;10;0;5;2;1;0;16;0;10;102;0;0;5;4;1;1;27;1
571016;Šaplava;103;66;66;5;0;0;6;0;4;3;0;1;0;0;0;7;0;1;28;0;0;4;1;0;0;6;0
571024;Těchlovice;284;217;212;35;0;0;10;0;3;23;3;0;3;0;0;14;0;4;83;0;0;9;2;0;0;23;0
571041;Třebechovice pod Orebem;4614;2947;2924;396;6;8;170;1;127;165;54;30;60;3;5;313;0;143;906;1;8;169;25;4;2;323;5
571059;Třesovice;200;126;126;8;0;0;14;0;8;15;4;0;4;0;0;3;1;1;39;0;2;2;2;1;0;22;0
513717;Urbanice;267;180;179;24;0;0;8;1;7;30;0;7;3;1;0;15;0;8;62;0;0;3;0;1;0;8;1
571083;Vinary;345;215;214;24;0;0;17;1;13;31;0;3;4;0;0;7;0;3;79;0;0;11;1;0;2;18;0
548057;Vrchovnice;56;45;45;3;0;0;2;0;4;4;0;0;0;0;0;1;0;3;21;0;0;1;0;0;1;4;1
571091;Všestary;1351;986;978;122;6;1;59;0;34;67;15;5;13;2;2;100;1;41;341;0;1;66;8;0;5;85;4
571105;Výrava;328;241;240;41;0;0;19;1;20;4;4;1;10;0;0;22;0;5;72;0;0;13;4;2;1;21;0
571113;Vysoká nad Labem;1160;833;831;152;4;0;31;0;42;29;6;4;7;0;0;116;0;71;265;2;0;36;6;0;0;59;1
548677;Vysoký Újezd;70;52;52;1;0;0;3;0;3;0;0;0;1;0;0;8;0;4;21;0;0;0;0;0;1;8;2
571130;Zachrašťany;176;106;105;11;1;0;8;0;4;13;0;2;3;0;0;8;0;1;40;0;0;2;1;1;0;9;1
573744;Zdechovice;147;100;100;10;0;0;12;0;2;13;2;1;1;0;0;3;0;1;42;0;2;2;1;0;0;8;0
